record_id,airline_code,airline_name,flight_number,origin_airport,destination_airport,departure_datetime,arrival_datetime,duration_min,status,delay_min,aircraft_type,cabin_class,seat,passenger_id,passenger_gender,passenger_age,passenger_nationality,booking_datetime,sales_channel,payment_method,ticket_price,currency,ticket_price_usd_est,bags_total,bags_checked,fecha_dt
1316,DL,DELTA,DL4890,LAX,MIA,2024-01-01 02:14:00,2024-01-01 07:12:00,289,ON_TIME,0,B757,PREMIUM_ECONOMY,13E,7B6D1804-9F25-40A7-86FE-47E31F19D1B9,F,37,PE,2023-11-17 18:59:00,AEROPUERTO,TARJETA,129.32,USD,129.32,1,0,2024-01-01
3802,WN,SOUTHWEST,WN2314,SAL,JFK,2024-01-01 03:14:00,2024-01-01 06:55:00,65,DELAYED,160,E190,BUSINESS,8A,88C6C31B-3D4E-4942-959E-285B420DD2BF,F,40,HN,2023-12-26 21:37:00,AEROPUERTO,PUNTOS,133.12,USD,133.12,1,0,2024-01-01
134,UA,UNITED,UA9153,PTY,HAV,2024-01-01 05:21:00,2024-01-01 07:21:00,125,DIVERTED,0,A321,ECONOMY,27F,A783CA77-AAE2-42D6-BF52-03ECC9FFD432,M,55,US,,,TARJETA,49.38,USD,49.38,2,1,2024-01-01
2767,LA,LATAM,LA3922,SAP,MEX,2024-01-01 05:43:00,2024-01-01 12:24:00,380,ON_TIME,0,B777,ECONOMY,34A,2453CEAD-6F04-4A05-B262-AC77CC9034EB,M,51,CU,2023-09-13 17:31:00,WEB,EFECTIVO,87.68,MXN,5.09,1,0,2024-01-01
4624,AV,AVIANCA,AV3972,SJO,MIA,2024-01-01 08:52:00,2024-01-01 16:18:00,396,DELAYED,30,B738,ECONOMY,22F,2EEB2C06-328D-4134-B440-D28179E876D0,M,38,MX,2023-11-29 11:20:00,APP,PUNTOS,57.58,USD,57.58,1,0,2024-01-01
8655,AM,AEROMEXICO,AM1965,BCN,BOG,2024-01-01 08:54:00,2024-01-01 14:27:00,333,ON_TIME,0,B738,ECONOMY,16E,9964EF4A-26AB-4790-8667-602C46BF4292,F,52,CO,2023-11-10 09:29:00,APP,PUNTOS,78.29,EUR,85.34,1,0,2024-01-01
3150,AV,AVIANCA,AV9603,JFK,BOG,2024-01-01 12:37:00,2024-01-01 18:13:00,317,ON_TIME,0,A319,ECONOMY,29C,E2A46FC4-92F7-4E29-9B01-DDC17BE90203,F,29,CR,2023-09-29 00:18:00,APP,EFECTIVO,66.35,USD,66.35,2,1,2024-01-01
7195,B6,JETBLUE,B64765,LIM,HAV,2024-01-01 20:08:00,2024-01-02 00:08:00,218,ON_TIME,0,E190,ECONOMY,29F,64B9B847-B72B-4CFC-8BF2-ED218525B9E8,F,35,PA,2023-10-10 14:53:00,WEB,PUNTOS,65.41,EUR,71.3,1,0,2024-01-01
2241,AM,AEROMEXICO,AM4437,PTY,CUN,2024-01-01 21:33:00,2024-02-01 00:34:00,156,ON_TIME,0,B757,BUSINESS,5A,6C1964B8-143F-4328-A023-3DFB1D4D0686,M,18,CU,2023-10-28 13:43:00,AGENCIA,EFECTIVO,198.04,USD,198.04,3,2,2024-01-01
4186,AA,AMERICAN AIRLINES,AA5669,MIA,HAV,2024-01-01 22:53:00,2024-01-02 05:47:00,398,ON_TIME,0,B757,ECONOMY,17F,DD990D5D-7052-4AB6-9FFC-C22272ECA702,M,28,PE,2023-12-05 22:00:00,APP,EFECTIVO,59.12,MXN,3.43,2,1,2024-01-01
4284,AV,AVIANCA,AV7630,LAX,SAL,2024-01-02 01:10:00,2024-01-02 02:05:00,64,ON_TIME,0,A321,ECONOMY,29F,04AC1224-CBB6-4B58-BD52-E1814A41C120,M,,ES,,WEB,PAYPAL,"97,97",EUR,106.79,1,0,2024-01-02
7142,AV,AVIANCA,AV3632,MIA,LAX,2024-01-02 03:55:00,2024-01-02 13:13:00,380,DELAYED,182,A319,ECONOMY,32B,3D801E63-5573-4EFC-A5CF-3B95DB71703D,M,36,MX,2023-10-25 11:07:00,AEROPUERTO,PAYPAL,"70,91",USD,70.91,2,1,2024-01-02
8307,WN,SOUTHWEST,WN3456,BCN,SAP,2024-01-02 04:11:00,2024-01-02 07:31:00,209,ON_TIME,0,B739,ECONOMY,24C,668810B1-46E3-417D-AD45-EB59B04D66CF,M,,ES,2023-12-13 18:14:00,WEB,TRANSFERENCIA,86.14,USD,86.14,1,0,2024-01-02
7342,AV,AVIANCA,AV8720,LIM,BCN,2024-01-02 04:37:00,2024-02-01 07:52:00,183,ON_TIME,0,E190,ECONOMY,26B,F6F2677F-E73C-400F-9665-7C4F809F0AE9,M,46,PA,2023-12-30 17:49:00,APP,PAYPAL,124.86,USD,124.86,1,0,2024-01-02
7048,AA,AMERICAN AIRLINES,AA5598,CUN,LIM,2024-01-02 08:38:00,2024-02-01 09:51:00,45,DELAYED,38,E190,ECONOMY,30B,4A05AE97-DAEC-4D34-B853-56B70FB5D1C6,M,,ES,2023-11-01 04:51:00,WEB,PUNTOS,65.38,MXN,3.79,1,0,2024-01-02
9568,BA,BRITISH AIRWAYS,BA0952,SAP,MEX,2024-01-02 09:05:00,2024-01-02 12:48:00,203,DELAYED,30,B767,ECONOMY,43E,2EED6C7D-1E15-4EF1-A7F1-89A6AFD84058,M,21,CU,2023-03-11 21:50:00,,EFECTIVO,43.38,GTQ,5.55,1,0,2024-01-02
597,WN,SOUTHWEST,WN3340,SJO,HAV,2024-01-02 11:37:00,2024-01-02 15:48:00,226,ON_TIME,0,CRJ9,BUSINESS,10E,B61B9BAA-6238-40E2-80C9-DBFA8415C8FB,F,26,CR,2023-09-24 16:34:00,WEB,PAYPAL,200.42,USD,200.42,1,0,2024-01-02
5737,AA,AMERICAN AIRLINES,AA6383,LAX,MAD,2024-01-02 13:32:00,,,CANCELLED,0,B767,BUSINESS,,143A28B3-6A5C-442D-9814-09869CDF47C3,M,18,PE,2023-10-23 20:50:00,APP,PUNTOS,169.33,USD,169.33,3,2,2024-01-02
7839,UA,UNITED,UA7484,JFK,PTY,2024-01-02 15:42:00,2024-01-02 20:54:00,304,DELAYED,12,A320,ECONOMY,17F,54BAB38E-8727-4087-9C33-98A35917E1BF,F,29,ES,2024-01-18 12:01:00,AEROPUERTO,EFECTIVO,58.23,USD,58.23,1,0,2024-01-02
2533,AM,AEROMEXICO,AM9558,BCN,BOG,2024-01-02 16:14:00,2024-01-02 17:59:00,86,ON_TIME,0,CRJ9,ECONOMY,27B,560FD3E6-BC4E-43B8-B0EE-A33BD6365DB5,F,43,HN,2023-01-10 16:45:00,AGENCIA,TRANSFERENCIA,"75,81",GTQ,9.7,1,0,2024-01-02
3588,FR,RYANAIR,FR4796,PTY,BCN,2024-01-02 18:46:00,2024-02-01 22:22:00,205,ON_TIME,0,B757,FIRST,2E,24343DD8-2857-4C7C-BCC4-43736BBD898A,X,51,PA,2023-09-24 08:58:00,APP,TARJETA,351.04,USD,351.04,2,1,2024-01-02
5936,DL,DELTA,DL3529,BOG,SJO,2024-01-02 23:11:00,2024-01-03 01:40:00,141,ON_TIME,0,B757,PREMIUM_ECONOMY,13F,86CF28B9-FB72-4C81-A205-D03C407F9B00,M,55,CO,2023-12-26 16:59:00,AGENCIA,PUNTOS,102.73,USD,102.73,1,0,2024-01-02
3524,IB,IBERIA,IB1810,LIM,MAD,2024-01-02 23:54:00,,,CANCELLED,0,B777,ECONOMY,,EAC9398C-156A-4091-85A4-E326C13CD8CA,F,34,CR,2023-09-04 06:44:00,AEROPUERTO,PUNTOS,78.85,USD,78.85,1,0,2024-01-02
8269,AM,AEROMEXICO,AM7653,PTY,BOG,2024-01-03 01:07:00,2024-03-01 02:55:00,85,ON_TIME,0,B738,ECONOMY,45A,F0CE4C09-8A96-47CE-B3A2-7E55E5374145,F,26,CR,2023-09-22 13:10:00,AGENCIA,TARJETA,113.04,GTQ,14.47,1,0,2024-01-03
2178,BA,BRITISH AIRWAYS,BA8355,SJO,MIA,2024-01-03 02:25:00,2024-01-03 07:07:00,261,ON_TIME,0,B777,ECONOMY,18F,263A961A-E2C1-403E-BFBD-EDE3631D89DA,M,39,MX,2023-12-10 09:56:00,WEB,TARJETA,104.64,GTQ,13.39,2,1,2024-01-03
8499,AA,AMERICAN AIRLINES,AA9402,LIM,BOG,2024-01-03 02:40:00,,,CANCELLED,0,B787,ECONOMY,,AC627DFF-4611-4410-882C-70AE10EE7750,F,47,HN,,AEROPUERTO,TARJETA,171.66,USD,171.66,1,0,2024-01-03
2813,BA,BRITISH AIRWAYS,BA2699,HAV,GUA,2024-01-03 07:04:00,2024-01-03 08:06:00,61,ON_TIME,0,B787,ECONOMY,42D,0DCBC56D-6837-4E7C-B6A7-C194C67F6806,M,56,GT,2023-11-16 04:36:00,WEB,EFECTIVO,78.72,MXN,4.57,1,0,2024-01-03
7300,AM,AEROMEXICO,AM5693,SAL,HAV,2024-01-03 07:04:00,2024-03-01 08:31:00,87,ON_TIME,0,E190,BUSINESS,8E,3B5B912A-7674-45BE-9E32-0F07450EA29B,X,12,ES,2023-12-26 02:09:00,WEB,PUNTOS,209.75,USD,209.75,1,0,2024-01-03
2095,BA,BRITISH AIRWAYS,BA2301,SJO,BCN,2024-01-03 10:14:00,2024-03-01 12:32:00,113,ON_TIME,0,B738,PREMIUM_ECONOMY,15C,F798A2A2-5114-46DF-B242-E968ACD594D5,F,28,HN,2023-11-08 17:45:00,WEB,TRANSFERENCIA,107.55,MXN,6.24,2,1,2024-01-03
